Tên văn phòng đại diện,Ngày cấp,Ngày hết hạn,Quốc gia,Điện thoại VPDD,Địa chỉ,Tên trưởng đại diện,Quốc tịch,Số giấy phép,Ngày cấp phép,Ngày giấy phép hết hạn,Lĩnh vực hoạt động,Tên công ty mẹ,Địa chỉ van phong chinh,Điện thoại VPDD Chinh,Năm thành lập,Nơi ĐKTL,"Bang, Tỉnh, TP",Vốn điều lệ
AASTRID INTERNATIONAL PRIVATE LIMITED,2018-02-05 10:00:39.116,2023-02-05 00:00:00.0,Việt Nam,,"Lexington Residence, tầng 4, phòng LE-04.13 tầng 4, số 67, Mai Chí Thọ, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Trần Thị Ái Dung,Việt Nam,"79-05095-01
Thương mại",2018-02-05 10:00:39.116,2023-02-05 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Aastrid International Private Limited,"247/248, Udyog Bhawan, Sonawala Road, Goregaon East, Mumbai, Maharashtra 400063, India",912242552525,0,Ấn Độ,,0 USD
TODA CORPORATION,2018-02-01 00:00:00.0,2023-02-01 00:00:00.0,Nhật Bản,,"Star Building, 9, 33ter-33bis, , Mạc Đĩnh Chi, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nishimura Tsuyoshi,Nhật Bản,"79-05094-03
Xây dựng",2018-02-01 00:00:00.0,2023-02-01 00:00:00.0,"Xây dựng : Xây dựng công trình,",Toda Corporation,"7-1, Kyobashi 1-Chome, Chuo-ku, Tokyo, Japan",03-3535-1591,0,Nhật Bản,,0 USD
SEALED AIR HONG KONG LIMITED,2018-01-31 18:19:24.995,2018-11-25 00:00:00.0,Việt Nam,,"717-1Register08, Me Linh Point Tower, 7, 2, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Võ Duy Linh,Việt Nam,"79-05092-01
Thương mại",2018-01-31 18:19:24.995,2018-11-25 00:00:00.0,"Thương mại : Nguyên, nhiên vật liệu,",Sealed Air Hong Kong Limited,"Unit 06A, 11/F, CDW Building, 388 Castle Peak Road, Tsuen Wan, NT, Hong Kong",852 2178 7878,0,Hồng Kông,,0 USD
KASATRIA TECHNOLOGIES SDN BHD,2018-01-31 19:18:30.843,2023-01-31 00:00:00.0,Australia,,"10, 195, Điện Biên Phủ, phường 15, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Sonny Truyen,Australia,"79-05093-01
Thương mại",2018-01-31 19:18:30.843,2023-01-31 00:00:00.0,"Thương mại : Thiết bị viễn thông,",Kasatria Technologies Sdn Bhd,"Suite 39.1.6, First Floor, Jalan Kenari 17C, Bandar Puchong Jaya, 47100 Puchong, Selangor, Malaysia",603 2242 2300,0,Malaysia,,0 USD
COMBA TELECOM LIMITED,2016-12-27 11:55:23.947,2019-01-25 00:00:00.0,Trung Quốc,,"Rosana Tower, trệt, 60, Nguyễn Đình Chiểu, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam","Wang, Yi Jun",Trung Quốc,"79-04795- 01
Thương mại",2016-12-27 11:55:23.947,2019-01-25 00:00:00.0,"Thương mại : Thiết bị viễn thông,",Comba Telecom Limited,"Flat/rm 611, 6/F East Wing No. 8, Science Park, West Avenue Hong Kong, Science Park Tai Po Nt",852 26366861,0,Hồng Kông,,1 USD
Q.R.I. LTD,2014-10-29 15:19:43.146,2020-10-28 00:00:00.0,Việt Nam,,"156, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn thị Thu Hương,Việt Nam,"79-04193-01
Thương mại",2014-10-29 15:19:43.146,2020-10-28 00:00:00.0,"Thương mại : Sản phẩm may mặc, dệt may,",Q.R.I. Ltd,"40 Stockhill Road, Greengates, Bradford, West Yorkshire, BD10 9AX, United Kingdom",441274613636,0,Vương Quốc Anh,,0 USD
GIKO DENTAL LABORATORY,2016-06-15 15:06:09.879,2021-06-15 00:00:00.0,Nhật Bản,,"Lim 2, 15, 62A, Phường 06, quận 3, thành phố Hồ Chí Minh, Việt Nam",Masamine Fujitani,Nhật Bản,"79-04631-01
Thương mại",2016-06-15 15:06:09.879,2021-06-15 00:00:00.0,"Thương mại : Máy móc, trang thiết bị y khoa,",GIKO Dental Laboratory,"7-82 Kasugakoen, Kasuga, Fukuoka, Japan",,0,Nhật Bản,,0 USD
PACIFIC LICENSING STUDIO PRIVATE LIMITED,2012-02-20 00:00:00.0,2023-02-01 00:00:00.0,Singapore,,"D-1202, 12, 91, Nguyễn Hữu Cảnh, phường 22, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Tan Lian Lih,Singapore,"79-03516-01
Thương mại",2012-02-20 00:00:00.0,2023-02-01 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Pacific Licensing Studio Private Limited,"111 North Bridge Road, #17-02, Peninsula Plaza, Singapore (179098)",65 64109768,0,Singapore,,480.898 USD
"VĂN PHÒNG ĐẠI DIỆN TAESUNG TRADING CO., LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH.",2018-01-30 15:39:28.769,2023-01-30 00:00:00.0,Hàn Quốc,,"Lexington Residence, Officetel LE-04.46, số 67, Mai Chí Thọ, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Han Ji Hoon,Hàn Quốc,"79-05091-01
Thương mại",2018-01-30 15:39:28.769,2023-01-30 00:00:00.0,"Thương mại : Quần áo và đồ phụ kiện,","Taesung Trading Co., Ltd.","(Bang-i-dong), 51, Ogeum-roll-gil, Songpa-gu, Seoul, Korea",82-2-070-4827-2826,0,Hàn Quốc,Seoul,0 USD
JURATOYS ASIA LIMITED,2018-01-30 09:24:37.529,2018-10-26 00:00:00.0,Cộng Hòa Pháp,,"Villa IC24, Lakeview Villas, Vietnam Golf and Country Club, đường Hoàng Hữu Nam, phường Long Thạnh Mỹ, quận 9, thành phố Hồ Chí Minh, Việt Nam","Christopher, David Watkin",Cộng Hòa Pháp,"79-05089-01
Thương mại",2018-01-30 09:24:37.529,2018-10-26 00:00:00.0,"Thương mại : Hàng tiêu dùng,",Juratoys Asia Limited,"Flat/Rm 7-8, 11/F, New East Ocean Centre, 9 Science Museum Road, Tsimshatsui East, KL, Hong Kong",8522572910,0,Hồng Kông,,0 USD
GATEWAY IP SERVICES SDN. BHD.,2018-01-30 10:38:22.001,2019-01-30 00:00:00.0,Việt Nam,,"G2, 60, Phường 02, quận Phú Nhuận, thành phố Hồ Chí Minh, Việt Nam",Trần Lê Lưu Phương,Việt Nam,"79-05090-01
Thương mại",2018-01-30 10:38:22.001,2019-01-30 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Gateway IP Services Sdn. Bhd.,"Wisma Zelan, Suite 9-19, 9th Floor, No.1, Jalan Tasik Permaisuri 2, Bandar Tun Razak, Kuala Lumpur, Wilayah Persekutuan, Malaysia",60322831885,0,Malaysia,,0 USD
VILLIV MICRON INC.,2018-01-29 08:27:58.868,2023-01-29 00:00:00.0,Việt Nam,,"11/4, Trương Công Định, phường 14, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Như Hạ,Việt Nam,"79-05088-01
Thương mại",2018-01-29 08:27:58.868,2023-01-29 00:00:00.0,"Thương mại : Phần cứng máy tính,",Villiv Micron Inc.,"B-604, 605, 606, Seongnam Woolim Lions Valley 5 Cha, Sangdaewondong, 302, Galmachi-ro, Jungwon-gu, Seongnam-si, Gyeonggi-do, Korea.",82-31-731-001568,0,Hàn Quốc,,0 USD
"IKEHIKO CORPORATION CO., LTD",2018-01-24 14:19:27.242,2023-01-24 00:00:00.0,Nhật Bản,,"L14-08B, Vincom Center, 14, số 72 đường Lê Thánh Tôn và 47, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Yasutsune Daisuke,Nhật Bản,"79-05087-01
Thương mại",2018-01-24 14:19:27.242,2023-01-24 00:00:00.0,"Thương mại : Thực phẩm,","Ikehiko Corporation Co., Ltd","1052 Miyamatsu Ohki-Machi Mizuma-gun, Fukuoka, Japan",0944921203,0,Nhật Bản,,0 USD
"SWANCOR IND. CO., LTD",2016-04-05 11:16:04.527,2021-04-05 00:00:00.0,Taiwan,73001230,"Khu vực 1.2, Capital Tower, 2, 6, Nguyễn Khắc Viện, phường Tân Phú, quận 7, thành phố Hồ Chí Minh, Việt Nam","Hsieh, Tsung-Ting",Taiwan,"79-04569-01
Thương mại",2016-04-05 11:16:04.527,2021-04-05 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,","Swancor Ind. Co., Ltd","No.9 Industry South 6 Road, 54066 Nantou City, Taiwan",886 49 225 5420,0,Taiwan,,0 USD
ESS-FOOD A/S,2017-11-03 11:37:57.394,,Đức,,"D1-14, Skycenter, 14, 10, đường Phổ Quang, phường 2, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Bui Quang Dai,Đức,"79-05007-02
Thương mại",2017-11-03 11:37:57.394,,"Thương mại : Thực phẩm,",Ess-Food A/S,"Kirkebjerg Parkvej 9, 2605 Brøndby, Denmark",454346900,0,Đan Mạch,,0 USD
OSRAM ASIA PACIFIC LIMITED,2016-08-24 14:28:55.089,2021-01-26 00:00:00.0,Việt Nam,,"1103B, Me Linh Point Tower, 11, 2, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Đỗ Hữu Hậu,Việt Nam,"79-04689-01
Thương mại",2016-08-24 14:28:55.089,2021-01-26 00:00:00.0,"Thương mại : Hàng tiêu dùng,",Osram Asia Pacific Limited,"Room 2409-10, 24/F., Shui On Centre, 6-8 Harbour Road, Wanchai, Hong Kong",852 2943 3488,0,Hồng Kông,,0 USD
AMPHI PTE. LTD,2018-01-24 13:37:06.679,2023-01-24 00:00:00.0,Ấn Độ,,"53/10, Trần Khánh Dư, phường Tân Định, quận 1, thành phố Hồ Chí Minh, Việt Nam",Koul Surinder,Ấn Độ,"79-05086-01
Thương mại",2018-01-24 13:37:06.679,2023-01-24 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Amphi Pte. Ltd,"1 North Bridge Road, #10-05/06, High Street Centre, Singapore (179094).",,0,Singapore,,0 USD
BLUEYOU CONSULTING AG,2015-02-11 11:48:55.14,2021-02-11 00:00:00.0,Việt Nam,,"001, trệt, 311, Phường 04, quận 3, thành phố Hồ Chí Minh, Việt Nam",Đoàn Hải Đăng Thi,Việt Nam,"79-04270-01
Thương mại",2015-02-11 11:48:55.14,2021-02-11 00:00:00.0,"Thương mại : Thủy hải sản,",Blueyou Consulting AG,"Binzstrasse 23 8045 Zürich, Switzerland",0041433331259,0,Thụy Sĩ,,0 USD
"LANESYNC SUPPLY CHAIN SERVICE CO., LTD.",2018-01-23 11:03:50.575,2023-01-23 00:00:00.0,Việt Nam,,"VIP 05, Indochina Park Tower, 18, Khu A, 4, đường Nguyễn Đình Chiểu, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Phạm Thị Thu,Việt Nam,"79-05085-01
Thương mại",2018-01-23 11:03:50.575,2023-01-23 00:00:00.0,"Thương mại : Thực phẩm,","Lanesync Supply Chain Service Co., Ltd.","Rm. 101, Floor 1, Building 1, No. 81, North Fute Rd., China (Shanghai) Pilot Free Trade Zone, Republic of China",,0,Trung Quốc,,0 USD
J BRIDGE WORLDWIDE,2018-01-22 14:11:43.162,2023-01-22 00:00:00.0,Hàn Quốc,,"3, 2A/12, Nguyễn Thị Minh Khai, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lim Joung Hee,Hàn Quốc,"79-05084-01
Dịch vụ",2018-01-22 14:11:43.162,2023-01-22 00:00:00.0,"Dịch vụ : Giao nhận, vận tải dường hàng không,",J Bridge Worldwide,"#517, 10 Seonyu-ro 3-gil, Yeongdeungpo-gu, Seoul, Korea",82232752674,0,Hàn Quốc,,0 USD
VĂN PHÒNG ĐẠI DIỆN CUREMED HEALTHCARE PRIVATE LIMITED TẠI THÀNH PHỐ HỒ CHÍ MINH.,2015-07-08 10:19:48.649,2023-07-08 00:00:00.0,Việt Nam,,"Hà Đô Airport, 02, 2, Hồng Hà, phường 2, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Trương Thị Ngọc Long,Việt Nam,"79-04373-01
Thương mại",2015-07-08 10:19:48.649,2023-07-08 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Curemed Healthcare Private Limited,"431 DLF Tower, Shivaji Marg, New Delhi - 110015, India",+911149321000,0,Ấn Độ,,0 USD
SAKAR HEALTHCARE LIMITED,2018-01-22 10:32:45.878,2023-01-22 00:00:00.0,Việt Nam,,"DD19, Bạch Mã, phường 15, quận 10, thành phố Hồ Chí Minh, Việt Nam",Thái Quang Vàng,Việt Nam,"79-05083-01
Thương mại",2018-01-22 10:32:45.878,2023-01-22 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Sakar Healthcare Limited,"Block No. 10/13, Village: Changodar, Sarkhej-Bavla Highway, Tal: Sanand, Dist: Ahmedabad Changodar Ahmedabad GJ 382213 India",917926588065,0,Ấn Độ,,0 USD
MIKIGUMI CORPORATION,2012-12-18 00:00:00.0,2022-12-17 00:00:00.0,Việt Nam,,"2, 10, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Hoàng Nguyễn,Việt Nam,"79-03744-01
Xây dựng",2012-12-18 00:00:00.0,2022-12-17 00:00:00.0,"Xây dựng : Bất động sản,",Mikigumi Corporation,"2 Go 2 Ban 1- Chome, Jusomoto Imazato, Yodogawa - Ku Osaka - shi, Japan",81-06308-3961,0,Nhật Bản,,0 USD
CHING FUNG APPAREL ACCESSORIES COMPANY LIMITED,2018-01-17 16:19:25.284,2019-01-16 00:00:00.0,Trung Quốc,,"lô C, Cụm Công nghiệp Quang Trung, phường Hiệp Thành, quận 12, thành phố Hồ Chí Minh, Việt Nam",Cheung Kin Chiu,Trung Quốc,"79-05081-01
Sản xuất",2018-01-17 16:19:25.284,2019-01-16 00:00:00.0,"Sản xuất : Nguyên phụ liệu dệt may, da giày,",Ching Fung Apparel Accessories Company Limited,"8/F, Fuk Cheong Factory Building, No 1 Walnut Street, Tai Kok Tsui, Kowloon, Hong Kong",85223911633,0,Hồng Kông,,0 USD
CÔNG TY CỔ PHẦN ISHIKAWA KIKOU,2018-01-18 08:47:19.562,2023-01-18 00:00:00.0,Nhật Bản,,"LE.03-67, Khu Chung cư cao tầng, số 67, Mai Chí Thọ, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Tomioka Keiichi,Nhật Bản,"79-05082-01
Thương mại",2018-01-18 08:47:19.562,2023-01-18 00:00:00.0,"Thương mại : Sản phẩm gia dụng,","Ishikawa Kikou Co., Ltd.","Agata-151 Haruhi, Kiyosu-shi, Aichi-ken, Japan.",0524092789,0,Nhật Bản,,0 USD
VĂN PHÒNG ĐẠI DIỆN MUNDIPHARMA PHARMACEUTICALS PTE. LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH.,2012-10-15 00:00:00.0,2023-10-02 00:00:00.0,Việt Nam,,"706, 7, 111A, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Đỗ Ngọc Hoàng,Việt Nam,"79-03692-01
Thương mại",2012-10-15 00:00:00.0,2023-10-02 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Mundipharma Pharmaceuticals Pte. Ltd.,"1 Marina Boulevard, # 28 - 00, One Marina Boulevard, Singapore (018989)",65 65111165,0,Singapore,,2 USD
GP BATTERY MARKETING (SINGAPORE) PTE LTD,2017-01-03 10:21:51.495,2022-01-03 00:00:00.0,Việt Nam,,"Thiên Phước II, 7, 110 , Cách Mạng Tháng Tám, phường 7, quận 3, thành phố Hồ Chí Minh, Việt Nam",Lê Điển Chải Hải Hà Anh,Việt Nam,"79-04800-01
Thương mại",2017-01-03 10:21:51.495,2022-01-03 00:00:00.0,"Thương mại : Hóa chất,",GP Battery Marketing (Singapore) Pte Ltd,55 Ayer Rajah Crescent #03-03 Singapore (139949),6565599760,0,Singapore,,0 USD
ORISSA INTERNATIONAL PTE. LTD.,2012-10-01 00:00:00.0,2022-09-30 00:00:00.0,Singapore,39950188,"22, 23, Phùng Khắc Khoan, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Tan Siew Yiong,Singapore,"79-03678-01
Dịch vụ",2012-10-01 00:00:00.0,2022-09-30 00:00:00.0,"Dịch vụ : Dịch vụ tiện ích khác,",Orissa International Pte. Ltd.,"1003 Bukit Merah Central, # 05 - 06, Singapore (159836)",65 62258667,0,Singapore,,1 USD
KROHNE (SOUTH EAST ASIA) PTE. LTD.,2014-07-24 00:00:00.0,2019-07-24 00:00:00.0,Việt Nam,,"Phần sau, Mekong Tower, tầng 08, 235-237-239-241, Cộng Hòa, phường 13, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Nguyễn cao Minh,Việt Nam,"79-04121-01
Thương mại",2014-07-24 00:00:00.0,2019-07-24 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Krohne (South East Asia) Pte. Ltd.,"33 Ubi Avenue 3, #02-55/56, Vertex, Singapore (408868)",+6567481073,0,Singapore,,0 USD
CIGISPED S.R.L.,2016-04-07 14:34:33.047,2021-04-07 00:00:00.0,Ý,,"13C, Phường 08, quận 3, thành phố Hồ Chí Minh, Việt Nam",Toncelli Roberta,Ý,"79-04574-01
Dịch vụ",2016-04-07 14:34:33.047,2021-04-07 00:00:00.0,"Dịch vụ : Giao nhận, vận tải đường biển,",Cigisped S.R.L.,"Via Bosco Bartolomeo 57/7A Genova (GE) Cap 16121, Italy",39-0108607214,0,Ý,,"641,026 USD"
VĂN PHÒNG ĐẠI DIỆN HALTON GROUP ASIA SDN. BHD. TẠI THÀNH PHỐ HỒ CHÍ MINH.,2018-01-16 16:55:49.513,2023-01-16 00:00:00.0,Việt Nam,,"1503, Elite Business Center,, SSG, 15, 561A, Điện Biên Phủ, phường 25, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Bùi Thanh Tùng,Việt Nam,"79-05079-01
Thương mại",2018-01-16 16:55:49.513,2023-01-16 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Halton Group Asia Sdn. Bhd.,"Lot 26064, Persiaran Technology, Subang Hi-Tech, Industrial Park, Subang Jaya, Selangor, 47500, Malaysia",,0,Malaysia,,0 USD
"NEGUROSU DENKOCO., LTD",2018-01-17 13:53:37.86,,Nhật Bản,,"Tầng 12, tòa nhà SGR Building, 167-169 , Điện Biên Phủ, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Masato Nakahara,Nhật Bản,"79-05080-01
Thương mại",2018-01-17 13:53:37.86,,"Thương mại : Máy móc, thiết bị công nghiệp,","Negurosu Denko Co., Ltd","1-3-5 Chuo, Edogawa - Ku, Tokyo, Japan",81-3-3683-8231,0,Nhật Bản,,0 USD
SYNERGY PHARMA COMPANY LIMITED,2018-01-16 08:55:48.231,2019-01-16 00:00:00.0,Ấn Độ,,"Hồng Anh Japan, 5, 24, Phường 02, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Teena Gupta,Ấn Độ,"79-05078-01
Thương mại",2018-01-16 08:55:48.231,2019-01-16 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Synergy Pharma Company Limited,"Unit S 1/F Mau Lam Commercial Building, 16-18 Mau Lam Street Jordan, KL, Hong Kong",85281078775,0,Hồng Kông,,0 USD
TAIHO PHARMA SINGAPORE PTE. LTD,2018-01-15 16:36:09.768,2023-01-15 00:00:00.0,Việt Nam,,"Phòng 1902, Tầng 19, số 1060 , đường Nguyễn Văn Linh, phường Tân Phong, quận 7, thành phố Hồ Chí Minh, Việt Nam",Cao Thị Phi Trân,Việt Nam,"79-05077-01
Thương mại",2018-01-15 16:36:09.768,2023-01-15 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Taiho Pharma Singapore Pte. Ltd,"390 Havelock Road, #06-07 King's Centre, Singapore 169662",65-6887-5104,0,Singapore,,0 USD
DAMACO FOODS PTE. LTD.,2013-10-29 00:00:00.0,2018-10-28 00:00:00.0,Việt Nam,,"TS1-03.24, Tresor, 39, Bến Vân Đồn, phường 12, quận 4, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Khánh,Việt Nam,"79-03950-01
Thương mại",2013-10-29 00:00:00.0,2018-10-28 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Damaco Foods Pte. Ltd.,"150 Beach Road-06-02, Gateway West, Singapore (189720)",65 63381669,0,Singapore,,81 USD
FURNITURE REPUBLIC LIMITED,2014-12-12 10:59:52.794,2020-12-12 00:00:00.0,Việt Nam,62814628,"62, Nguyễn Duy Hiệu, phường Thảo Điền, quận 2, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Thu Huyền,Việt Nam,"79-04225-01
Thương mại",2014-12-12 10:59:52.794,2020-12-12 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",Furniture Republic Limited,"Mill Mall Tower, 2nd Floor, Wickhams cay 1, PO Box 4406, Road Town, Tortola, British Virgin Islands",66-86-7792032; 01224172407,0,,,200.000 USD
"HUBEI XINGFA CHEMICALS GROUP CO., LTD.",2015-11-17 13:33:32.046,2020-11-17 00:00:00.0,Trung Quốc,,"121 khu phố Mỹ Hưng - H7, phường Tân Phong, quận 7, thành phố Hồ Chí Minh, Việt Nam",Li Hongjun,Trung Quốc,"79-04465-01
Thương mại",2015-11-17 13:33:32.046,2020-11-17 00:00:00.0,"Thương mại : Hóa chất,","Hubei Xingfa Chemicals Group Co., Ltd.","No.58, Gaoyang Avenue, Gufu Town, Xingshan County, China",0717 6760850,0,Trung Quốc,,0 USD
HABASIT FAR EAST PTE LTD,2018-01-15 09:36:12.634,2023-01-15 00:00:00.0,Việt Nam,,"Office tel GG-04.40, Garden Gate Residence, 8, Hoàng Minh Giám, phường 9, quận Phú Nhuận, thành phố Hồ Chí Minh, Việt Nam",Trịnh Nam Hùng,Việt Nam,"79-05075-01
Thương mại",2018-01-15 09:36:12.634,2023-01-15 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Habasit Far East Pte Ltd,"100G Pasir Panjang Road, #06-07 Interlocal Centre, Singapore (118523)",6568625566,0,Singapore,,0 USD
NH INTERNATIONAL CORP.,2018-01-15 08:33:34.031,2023-01-15 00:00:00.0,Việt Nam,,"11-13, 19D, phường Bình Trị Đông B, quận Bình Tân, thành phố Hồ Chí Minh, Việt Nam",Trần Ngọc Hữu,Việt Nam,"79-05074-01
Thương mại",2018-01-15 08:33:34.031,2023-01-15 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",NH International Corp.,"155 Pyeongdongsandan 2beon-ro, Gwangsan-gu, Gwangju, Korea",82-2-3409-9566,0,Hàn Quốc,,0 USD
WHEEL HONG KONG LIMITED,2018-01-15 10:03:35.5,2019-04-18 00:00:00.0,Việt Nam,,"1, 147A, Nguyễn Cửu Vân, phường 17, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Đỗ Thanh Hà,Việt Nam,"79-05076-01
Thương mại",2018-01-15 10:03:35.5,2019-04-18 00:00:00.0,"Thương mại : Sản phẩm may mặc, dệt may,",Wheel Hong Kong Limited,"Room 05-15, 13A/F South Tower, World Finance Centre Harbour City, 17 Canton Road, Tsimshatsui, KL, Hong Kong",85226662888,0,Hồng Kông,,0 USD
"H&amp;C BRANDING MANAGEMENT CO., LTD",2018-01-12 10:01:11.944,2023-01-12 00:00:00.0,Nhật Bản,,"25, 5, 74, Mạc Đĩnh Chi, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nakashima Arisa,Nhật Bản,"79-05073-01
Dịch vụ",2018-01-12 10:01:11.944,2023-01-12 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,","H&amp;C Branding Management Co., Ltd","Số 6-13-16 Ginza, Chuo-ku, Tokyo, Japan",0368684726,0,Nhật Bản,,0 USD
"SOKUHANSHA CO., LTD.",2012-03-30 00:00:00.0,2020-03-30 00:00:00.0,Việt Nam,,"lửng, 24, đường Trường Sơn, phường 2, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Phạm Thị Hà,Việt Nam,"79-03550-01
Thương mại",2012-03-30 00:00:00.0,2020-03-30 00:00:00.0,"Thương mại : Hàng tiêu dùng,","Sokuhansha Co., Ltd.","3-19-3 Higasirokugo, Oota-ku, Tokyo, Japan",81-3-3732-0673,0,Nhật Bản,,0 USD
NINGBO SUPREME ELECTRONIC MACHINERY INC.,2018-01-10 20:07:19.339,2023-01-10 00:00:00.0,Trung Quốc,,"SE 810 Happy Valley,, phường Tân Phong, quận 7, thành phố Hồ Chí Minh, Việt Nam","Duan, Xiao Jun",Trung Quốc,"79-05072-01
Thương mại",2018-01-10 20:07:19.339,2023-01-10 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Ningbo Supreme Electronic Machinery Inc.,"F6, N. 219, Jingu North Road, Yinzhou District, Ningbo City, China",57489259151,0,Trung Quốc,,0 USD
NATIONAL-OILWELL PTE. LTD.,2014-11-17 14:45:47.32,2019-11-17 00:00:00.0,Australia,,"G820, The Manor 2, 8, 91, Nguyễn Hữu Cảnh, phường 22, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Robert John Weber,Australia,"79-04209-01
Sản xuất",2014-11-17 14:45:47.32,2019-11-17 00:00:00.0,"Sản xuất : Máy móc, thiết bị công nghiệp,",National-Oilwell Pte. Ltd.,"1 Marina Boulevard, #28-00, One Marina Boulevard, Singapore (018989)",+6562475885,0,Singapore,,0 USD
"PARADIGM PHARMACEUTICALS, INC",2011-04-13 00:00:00.0,2021-04-13 00:00:00.0,Thái Lan,39101380,"4, 29, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nilumon Panjawan,Thái Lan,"79-03248-01
Thương mại",2011-04-13 00:00:00.0,2021-04-13 00:00:00.0,"Thương mại : Mỹ phẩm,","PARADIGM PHARMACEUTICALS, INC","2600 W. Big Beaver Road, Suite 550, Troy, Michigan 48084, USA",662 685 3000,0,Hoa Kỳ,,0 USD
NQ HEALTHCARE AUSTRALIA PTY. LTD.,2018-01-08 15:40:30.101,2023-01-08 00:00:00.0,Việt Nam,,"10/8, Phan Đình Giót, phường 2, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Phan Thị Hoài Phương,Việt Nam,"79-05070-01
Thương mại",2018-01-08 15:40:30.101,2023-01-08 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",NQ Healthcare Australia Pty. Ltd.,"12 Kanumbra Street, Coorparoo QLD 4151, Australia",0617 3324 1665,0,Australia,,0 USD
ROBUST INTERNATIONAL PTE. LTD.,2013-02-19 00:00:00.0,2023-01-11 00:00:00.0,Ấn Độ,,"14, 9, 180 - 192, Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, thành phố Hồ Chí Minh, Việt Nam",Ranjith Krishna Pillai Sarasamma,Ấn Độ,"79-03794-01
Thương mại",2013-02-19 00:00:00.0,2023-01-11 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Robust International Pte. Ltd.,"1 Maritime Square, #12-03 Harbourfront Centre, Singapore (099253)",65 62923716,0,Singapore,,1.624.119 USD
